,Location,Climat
0,Adelaide,4
1,Albany,6
2,Albury,4
3,AliceSprings,2
4,BadgerysCreek,4
5,Ballarat,3
6,Bendigo,4
7,Brisbane,0
8,Cairns,1
9,Canberra,4
10,Cobar,2
11,CoffsHarbour,0
12,Dartmoor,3
13,Darwin,1
14,GoldCoast,0
15,Hobart,3
16,Katherine,1
17,Launceston,3
18,Melbourne,3
19,MelbourneAirport,3
20,Mildura,2
21,Moree,4
22,MountGambier,3
23,Newcastle,0
24,Nhil,4
25,NorahHead,0
26,NorfolkIsland,0
27,Nuriootpa,4
28,PearceRAAF,4
29,Penrith,4
30,Perth,4
31,PerthAirport,4
32,Portland,6
33,Richmond,4
34,Sale,3
35,SalmonGums,4
36,Sydney,0
37,SydneyAirport,0
38,Townsville,1
39,Tuggeranong,4
40,Uluru,2
41,WaggaWagga,4
42,Walpole,6
43,Watsonia,3
44,Williamtown,0
45,Witchcliffe,6
46,Wollongong,0
47,Woomera,2
48,MountGinini,5